레벨,경험치,표식,스탯1,스탯2
Lv.38,5340,0,부대파괴력 +8.20%,부대HP +8.20%
Lv.39,5500,0,부대파괴력 +8.30%,부대HP +8.30%
Lv.40,5720,120,부대파괴력 +9.20%,부대HP +9.20%
Lv.41,5940,0,부대파괴력 +9.30%,부대HP +9.30%
Lv.42,6160,0,부대파괴력 +9.40%,부대HP +9.40%
Lv.43,6380,0,부대파괴력 +9.50%,부대HP +9.50%
Lv.44,6600,0,부대파괴력 +9.60%,부대HP +9.60%
Lv.45,6820,0,부대파괴력 +9.70%,부대HP +9.70%
Lv.46,7040,0,부대파괴력 +9.80%,부대HP +9.80%
Lv.47,7260,0,부대파괴력 +9.90%,부대HP +9.90%
Lv.48,7480,0,부대파괴력 +10.00%,부대HP +10.00%
Lv.49,7700,0,부대파괴력 +10.10%,부대HP +10.10%
Lv.50,7980,160,부대파괴력 +11.00%,부대HP +11.00%
Lv.51,8250,0,부대파괴력 +11.10%,부대HP +11.10%
Lv.52,8530,0,부대파괴력 +11.20%,부대HP +11.20%
Lv.53,8800,0,부대파괴력 +11.30%,부대HP +11.30%
Lv.54,9080,0,부대파괴력 +11.40%,부대HP +11.40%
Lv.55,9350,0,부대파괴력 +11.50%,부대HP +11.50%
Lv.56,9630,0,부대파괴력 +11.60%,부대HP +11.60%
Lv.57,9900,0,부대파괴력 +11.70%,부대HP +11.70%
Lv.58,10180,0,부대파괴력 +11.80%,부대HP +11.80%
Lv.59,10450,0,부대파괴력 +11.90%,부대HP +11.90%
Lv.60,10730,200,부대파괴력 +12.80%,부대HP +12.80%
Lv.61,11000,0,부대파괴력 +12.90%,부대HP +12.90%
Lv.62,11280,0,부대파괴력 +13.00%,부대HP +13.00%
Lv.63,11550,0,부대파괴력 +13.10%,부대HP +13.10%
Lv.64,11830,0,부대파괴력 +13.20%,부대HP +13.20%
Lv.65,12100,0,부대파괴력 +13.30%,부대HP +13.30%
Lv.66,12380,0,부대파괴력 +13.40%,부대HP +13.40%
Lv.67,12650,0,부대파괴력 +13.50%,부대HP +13.50%
Lv.68,12930,0,부대파괴력 +13.60%,부대HP +13.60%
Lv.69,13200,0,부대파괴력 +13.70%,부대HP +13.70%
Lv.70,13480,240,부대파괴력 +14.60%,부대HP +14.60%
Lv.71,13750,0,부대파괴력 +14.70%,부대HP +14.70%
Lv.72,14030,0,부대파괴력 +14.80%,부대HP +14.80%
Lv.73,14300,0,부대파괴력 +14.90%,부대HP +14.90%
Lv.74,14580,0,부대파괴력 +15.00%,부대HP +15.00%
Lv.75,14850,0,부대파괴력 +15.10%,부대HP +15.10%
Lv.76,15130,0,부대파괴력 +15.20%,부대HP +15.20%
Lv.77,15400,0,부대파괴력 +15.30%,부대HP +15.30%
Lv.78,15680,0,부대파괴력 +15.40%,부대HP +15.40%
Lv.79,15950,0,부대파괴력 +15.50%,부대HP +15.50%
Lv.80,16230,280,부대파괴력 +16.40%,부대HP +16.40%
Lv.81,16500,0,부대파괴력 +16.50%,부대HP +16.50%
Lv.82,16780,0,부대파괴력 +16.60%,부대HP +16.60%
Lv.83,17050,0,부대파괴력 +16.70%,부대HP +16.70%
Lv.84,17330,0,부대파괴력 +16.80%,부대HP +16.80%
Lv.85,17600,0,부대파괴력 +16.90%,부대HP +16.90%
Lv.86,17880,0,부대파괴력 +17.00%,부대HP +17.00%
Lv.87,18150,0,부대파괴력 +17.10%,부대HP +17.10%
Lv.88,18430,0,부대파괴력 +17.20%,부대HP +17.20%
Lv.89,18700,0,부대파괴력 +17.30%,부대HP +17.30%
Lv.90,18980,320,부대파괴력 +18.20%,부대HP +18.20%
Lv.91,19250,0,부대파괴력 +18.30%,부대HP +18.30%
Lv.92,19530,0,부대파괴력 +18.40%,부대HP +18.40%
Lv.93,19800,0,부대파괴력 +18.50%,부대HP +18.50%
Lv.94,20080,0,부대파괴력 +18.60%,부대HP +18.60%
Lv.95,20350,0,부대파괴력 +18.70%,부대HP +18.70%
Lv.96,20630,0,부대파괴력 +18.80%,부대HP +18.80%
Lv.97,20900,0,부대파괴력 +18.90%,부대HP +18.90%
Lv.98,21180,0,부대파괴력 +19.00%,부대HP +19.00%
Lv.99,21450,0,부대파괴력 +19.10%,부대HP +19.10%
Lv.100,21730,350,부대파괴력 +20.00%,부대HP +20.00%
